user_id,name,role,location,department,risk_score,access_level,auth_method,failed_attempts,is_active
USER-0001,Samantha Melton,manager,office,IT,20,3,mfa,0,True
USER-0002,Timothy Ray,manager,hybrid,Finance,20,3,biometric,0,True
USER-0003,Rachel Lopez,contractor,hybrid,Marketing,0,1,password,0,True
USER-0004,Christopher Vance,employee,office,Finance,100,2,password,3,True
USER-0005,Lindsay Wolfe,contractor,hybrid,Finance,0,1,password,0,True
USER-0006,Philip Mann,admin,hybrid,IT,20,5,certificate,0,True
USER-0007,Timothy Aguirre,executive,remote,Engineering,100,4,biometric,0,True
USER-0008,Jeremiah Wilson,executive,hybrid,Marketing,20,4,certificate,0,True
USER-0009,Brianna Ali,contractor,remote,Engineering,20,1,mfa,0,True
USER-0010,Kevin Hicks,admin,remote,Operations,20,5,mfa,0,True
USER-0011,Ashley Hudson,contractor,remote,IT,0,1,password,0,True
USER-0012,Tina Chen,executive,remote,Operations,20,4,biometric,0,True
USER-0013,Mr. Alexander Vance,executive,remote,Sales,20,4,biometric,0,True
USER-0014,Kelsey Peterson,employee,hybrid,Engineering,100,2,mfa,0,True
USER-0015,John Ray,contractor,remote,Operations,20,1,password,0,True
USER-0016,Theresa Hayes,contractor,remote,Engineering,20,1,mfa,0,True
USER-0017,Spencer Kerr,admin,hybrid,HR,20,5,biometric,0,True
USER-0018,Dana Elliott DDS,contractor,hybrid,Operations,20,1,password,0,True
USER-0019,Martin Stafford,executive,remote,Sales,100,4,certificate,0,True
USER-0020,Julie Boyd,executive,remote,IT,20,4,mfa,0,True
USER-0021,Sandra Sandoval,manager,hybrid,Finance,20,3,biometric,0,True
USER-0022,Elizabeth Knapp,admin,office,HR,20,5,certificate,0,True
USER-0023,Sean Allen,executive,hybrid,IT,20,4,certificate,0,True
USER-0024,Tracy Garcia,admin,remote,IT,20,5,certificate,0,True
USER-0025,Chris Bates,employee,office,IT,0,2,password,0,True
USER-0026,John Carpenter,manager,office,Engineering,20,3,biometric,0,True
USER-0027,James Duncan,manager,office,Sales,0,3,biometric,0,True
USER-0028,Kristi Morrison,admin,office,Engineering,0,5,mfa,0,True
USER-0029,Amber Bryan,contractor,office,HR,0,1,password,0,True
USER-0030,Crystal Kirby,executive,remote,Sales,0,4,mfa,0,True
USER-0031,Helen Estes,employee,remote,Sales,20,2,mfa,0,True
USER-0032,Michael Alvarez,contractor,remote,Operations,100,1,mfa,0,True
USER-0033,Christopher Richard,contractor,office,Marketing,20,1,mfa,0,True
USER-0034,Lee Parker,manager,remote,HR,0,3,biometric,0,True
USER-0035,George Ross,manager,remote,Engineering,20,3,mfa,0,True
USER-0036,William Hernandez,manager,hybrid,HR,20,3,biometric,0,True
USER-0037,Angela Martinez,contractor,remote,IT,20,1,mfa,0,True
USER-0038,Richard Reynolds,manager,remote,Marketing,20,3,mfa,0,True
USER-0039,Kenneth Peterson,admin,office,Sales,0,5,mfa,0,True
USER-0040,Derek Carroll,manager,remote,Sales,0,3,biometric,0,True
USER-0041,Allen Garrison,employee,hybrid,Finance,0,2,password,0,True
USER-0042,Amanda Flores,employee,hybrid,Engineering,0,2,password,0,True
USER-0043,Nicole Walton,contractor,hybrid,Finance,20,1,mfa,0,True
USER-0044,Jason Adams,employee,remote,Finance,20,2,password,0,True
USER-0045,Melissa Lewis,manager,office,Marketing,100,3,mfa,0,True
USER-0046,Scott Wilson,employee,remote,Finance,0,2,password,0,True
USER-0047,Sherry Dorsey,contractor,office,Engineering,100,1,mfa,0,True
USER-0048,Dana Gallegos,admin,hybrid,Engineering,0,5,mfa,0,True
USER-0049,Gabriel Beasley,employee,office,Finance,100,2,mfa,0,True
USER-0050,Rebecca Williams,manager,hybrid,IT,20,3,biometric,0,True
